-50.0, 5992.146609391516
-49.0, 8744.706755844018
-48.0, 6144.190947976768
-47.0, -446.00844989344404
-46.0, -3811.6928087774413
-45.0, 9616.444026979294
-44.0, -2602.1410782192947
-43.0, 1960.3421949103029
-42.0, 10547.753949617963
-41.0, 4943.564481651537
-40.0, 4726.03300796164
-39.0, -2866.369402012213
-38.0, 4165.094755998938
-37.0, 11410.226817054678
-36.0, 5643.92883777586
-35.0, 2208.663354713702
-34.0, -5138.982467568407
-33.0, 6359.015085445765
-32.0, 15371.407450962024
-31.0, 16176.747903972819
-30.0, 8916.203075016456
-29.0, -24.495050556684873
-28.0, 20676.69613362071
-27.0, 19028.850718070156
-26.0, 18570.3630889246
-25.0, 22841.78942470387
-24.0, 17547.56799422501
-23.0, 11412.985230313321
-22.0, 21344.560770975862
-21.0, 24834.154128979935
-20.0, 36920.12715040569
-19.0, 39466.5503173179
-18.0, 28735.815767780477
-17.0, 36810.53718399809
-16.0, 31080.924750800204
-15.0, 49832.47927786969
-14.0, 51213.526553678836
-13.0, 57741.94812919855
-12.0, 64556.804220076716
-11.0, 59167.330828863145
-10.0, 66032.6143397084
-9.0, 77398.68914782495
-8.0, 74790.27408532749
-7.0, 76805.4493418615
-6.0, 85592.5278299999
-5.0, 87589.21172429934
-4.0, 104150.55081795348
-3.0, 115010.1721238913
-2.0, 106126.06577543533
-1.0, 122591.8967282971
